Algorithms,Qtd
Naive Bayes,3
KNN,1
Genetic Programming,2
Decision Tree,5
K-Means,1
Logistic Regression,3
SVM,2
Belief propagation,1
DBSCAN,1
Decision Table,1
Adversarial machine learning,1
Random Forest,2
Bloom Filter,1
Neural Network,2
Artificial‌ ‌Bee‌ ‌Colony,1
Fuzzy‌ ‌clustering‌,1
